token,pred,true
yen,5,0
the,5,0
current,1,0
Matsushita,0,1
an,3,0
interview,4,0
with,4,0
Nihon,0,3
Keizai,0,4
Shimbun,0,4
Blackpool,5,3
Hednesford,5,3
1,2,0
Wheat,7,0
Ulker,1,3
Spor,4,4
Turkey,5,5
I,1,0
(,3,0
party,4,0
Alexander,1,1
Bavykin,2,2
Russia,5,5
Moscow,5,5
on,7,0
in,7,0
Turkey,5,5
Syria,5,5
sponsors,8,0
PKK,7,3
Kurdish,7,7
self-rule,8,0
southeast,5,0
Turkey,6,5
U.S.,5,3
Municipal,4,4
Desk,4,4
212-859-1650,7,0
Hapoel,3,3
Beit,6,4
She'an,6,4
Hapoel,3,3
Beersheba,6,4
Real,3,3
Madrid,4,4
Balkan,7,5
Davor,1,1
Suker,2,2
Predrag,1,1
Mijatovic,2,2
Barcelona,3,3
Spain,5,5
French,5,7
foreign,7,0
communities,8,0
"""",1,0
executive,1,0
jet,8,0
Ireland,5,5
Michigan,5,5
airport,7,0
Stephenville,5,5
Newfoundland,5,5
",",1,0
with,5,0
Mexico,0,5
",",1,0
Aninat,0,1
free,5,0
Canada,0,5
Svetlana,1,1
Gladishiva,2,2
A,5,0
New,6,5
Mexico,6,6
referee,1,0
Thursday,5,0
Santa,5,3
Fe,6,4
from,3,0
Newmont,0,3
PSV,3,3
Eindhoven,6,4
Ipswich,5,3
Wolverhampton,5,3
VANCOUVER,5,3
Saturday,5,0
World,7,7
Cup,8,8
downhill,8,0
race,8,0
TORONTO,5,3
LONDON,5,5
1996-12-06,8,0
Bundesbank,3,3
intervention,8,0
"15,232",7,0
NEW,5,5
YORK,6,6
1996-12-07,7,0
Florence,1,5
Masnada,2,1
France,5,5
Bayern,5,3
Munich,6,4
Mafikeng,5,5
NEW,5,5
YORK,6,6
1996-12-06,7,0
Southend,5,3
The,5,0
West,6,5
Indies,6,6
Tom,1,1
Moody,2,2
Shane,1,1
Warne,2,2
Northern,5,5
Ireland,6,6
Russia,5,5
Yeltsin,1,1
Kremlin,3,5
Salomon,1,3
bond,7,0
index,8,0
China,5,5
Guilin,5,5
Guangxi,5,5
Xinhua,3,3
Phoenix,5,3
ST,0,3
LOUIS,5,4
Gulf,5,5
of,6,6
Mexico,6,6
Toledo,5,5
"61,514",8,0
Poland,5,5
President,1,0
Aleksander,2,1
Kwasniewski,2,2
Pope,1,0
John,2,1
Paul,2,2
Vatican,3,5
and,6,0
Warsaw,0,5
Florence,5,1
Masnada,2,2
France,5,5
Napoli,5,3
Verona,5,3
Thai,5,7
Commerce,4,3
Ministry,4,4
Thai,5,7
Learjet,3,7
36,0,8
",",5,0
manager,1,0
David,2,1
Snow,0,2
Denmark,5,5
Radiometer,3,0
H1,8,0
Electronic,3,3
Data,4,4
Systems,4,4
the,3,0
Private,4,0
Finance,4,0
B.,0,1
Lara,1,2
Warne,1,1
Moody,1,1
MILWAUKEE,5,3
WASHINGTON,5,5
U.N.,3,3
social,8,0
development,8,0
conference,8,0
Copenhagen,5,5
U.N.,3,3
development,8,0
programme,8,0
Inge,1,1
Kaul,2,2
Korneilus,1,1
Hole,2,2
Norway,5,5
23.92,7,0
ST,5,3
LOUIS,6,4
Premier,7,7
league,4,8
Extremadura,5,3
RE,7,0
Division,3,0
One,8,0
St,5,5
Louis,6,6
COLORADO,5,5
Hapoel,3,3
Petah,4,4
Tikva,4,4
Marianne,1,1
Timmer,2,2
Netherlands,5,5
Patrizia,1,1
Bassis,2,2
Italy,5,5
China,5,5
newcomers,5,0
Uzbekistan,0,5
Martina,1,1
Ertl,2,2
Germany,5,5
SOCCER,7,0
SPANISH,7,7
Woman,1,0
N.,1,5
Ireland,6,6
arms,7,0
Bradford,1,3
