token,pred,true
Sebastian,1,1
Lindholm,2,2
Finland,5,5
Ford,3,7
Escort,8,8
Chris,1,1
Walker,2,2
England,5,5
Amr,1,1
Shabana,2,2
Egypt,5,5
OB,0,3
Lotte,3,3
Meluawati,1,1
Indonesia,5,5
Chan,1,1
Chia,2,2
Fong,2,2
Malaysia,5,5
",",3,0
"""",8,0
Socialist,1,0
Zeri,0,3
i,0,4
Popullit,0,4
Cozma,1,1
Lupu,1,1
Reuters,3,3
Tuesday,7,0
Manila,5,5
MOSCOW,5,5
1996-08-26,8,0
share,3,0
share,3,0
the,3,0
FFK,0,3
GENOA,5,5
Italy,5,5
Huddersfield,5,3
2,8,0
1,8,0
0,8,0
1,8,0
3,3,0
3,4,0
3,4,0
Steptoe,1,3
&,0,4
Johnson,1,4
Clarksburg,5,5
West,0,3
Coast,5,4
Somerset,5,3
Oxford,5,3
Norwich,5,3
Terry,1,1
Price,2,2
Australia,5,5
Paul,1,1
Eales,2,2
Wayne,1,1
Tortelli,1,1
Adrian,1,1
Warner,2,2
Bristol,5,5
Gloucestershire,5,3
J.,1,1
Russell,2,2
Northamptonshire,5,3
K.,1,1
Curran,2,2
China,5,5
Britain,5,5
France,5,5
Russia,5,5
United,5,5
States,6,6
Kurt,1,1
Betschart,2,2
Bruno,1,1
Risi,2,2
Switzerland,5,5
man,1,0
women,1,0
sought,1,0
AMSTERDAM,5,5
1996-08-27,8,0
Sunday,0,1
Bada,1,2
Nigeria,5,5
ADDIS,5,5
ABABA,6,6
Bombay,5,5
newsroom,4,0
+91-22-265,7,0
9000,8,0
Newcrest,3,3
Telfer,5,5
Boddington,5,5
Danielle,1,1
Murray,2,2
Sandusky,5,5
Ohio,5,5
her,1,0
",",1,0
from,7,0
Atlantic,0,5
Ocean,0,6
AUSTRIA,5,5
SCOTLAND,5,5
EUROPEAN,7,7
UNDER-21,8,0
Germany,5,5
Russia,5,5
Chechnya,5,5
people,1,0
Minnesota,5,5
Marty,1,1
Cordova,2,2
Matt,1,1
Lawton,2,2
Frankie,0,1
Rodriguez,3,2
a,5,0
starter,4,0
the,3,0
Minnesota,0,3
Twins,0,4
held,3,0
Texas,0,3
Rangers,0,4
spokesman,1,0
boy,1,0
said,1,0
Komala,0,1
Brisbane,5,3
21,8,0
16,8,0
0,8,0
5,8,0
569,8,0
257,8,0
32,8,0
CALIFORNIA,5,3
Saturday,7,0
HOUSTON,5,3
Chicago,5,3
banks,3,0
societies,3,0
Dutroux,1,1
Slovakia,5,5
July,7,0
GMT,0,7
EASTERN,5,7
DIVISION,4,8
HCFA,3,3
Administrator,2,0
company,3,0
French,7,7
shipyard,6,0
workers,1,0
march,8,0
cuts,7,0
Belinda,1,1
Goldsmith,2,2
Kindercare,3,0
Q1,7,0
results,8,0
U.S.,5,5
Bill,1,1
Clinton,2,2
Ballybunion,5,3
Irish,7,7
Patricia,1,1
Vowinkel,2,2
English,0,7
Birmingham,5,3
Barnsley,5,3
Bradford,5,3
ATHENS,5,5
of,1,0
war,3,0
",",6,0
"""",7,0
Edward,0,1
Smith,0,2
American,0,3
Studies,0,4
American,0,3
University,0,4
Washington,0,5
Albanian,5,7
moderates,2,0
hardliners,1,0
neighbouring,5,0
Albania,0,5
England,7,5
Will,1,1
Carling,2,2
Jeremy,1,1
Guscott,2,2
Rory,1,1
Underwood,2,2
Dean,1,1
Richards,2,2
England,7,5
Germany,5,5
Britain,5,5
Spain,5,5
Paul,1,1
Broadhurst,2,2
Greg,1,1
Turner,2,2
New,5,5
Zealand,6,6
Mike,1,1
Berkshire,5,3
Wood,6,4
Elves,3,4
of,3,0
Portuguese,0,7
Porto,3,3
home,5,0
Setubal,3,3
Saturday,7,0
a,3,0
police,2,0
post,5,0
Major,3,7
League,4,8
BOLSWESSANEN,1,3
Oppenheimer,3,3
Capital,4,4
LP,4,4
Arkansas,5,5
churches,7,0
of,5,0
WASHINGTON,5,5
1996-08-27,8,0
Forfar,5,3
Inverness,5,3
Dutch,1,7
Ajax,3,3
Amsterdam,6,4
Saturday,5,0
Heerenveen,3,3
CHICAGO,5,5
1996-08-29,8,0
Dawn,1,1
Bowles,2,2
U.S.,5,5
WASHINGTON,5,5
1996-08-29,8,0
leadership,1,0
Garang,1,1
government,3,0
German,7,7
airports,6,0
January-July,7,0
1996,8,0
1994,7,0
he,2,0
prison,5,0
thief,1,0
Essendon,3,3
Malta,5,5
Aston,3,3
Villa,4,4
impoverished,5,0
Albania,0,5
Olivier,1,1
Panis,2,2
France,5,5
BOMBAY,5,5
RUGBY,3,3
UNION,4,4
MULDER,1,1
association,3,0
European,3,3
Union,4,4
Central,5,3
European,6,4
Free,0,4
Trade,0,4
Area,5,4
also,5,0
Hungary,5,5
Slovakia,5,5
the,7,0
Czech,6,5
Republic,0,6
BALTIMORE,5,3
California,5,3
Monday,7,0
Liam,1,1
brother,1,0
Noel,0,1
CBOE,3,3
MFS,3,3
Promodes,3,3
German,7,7
Palestinians,1,7
Jerusalem,5,5
